64380,22336,22337
73665,73664,48581
49205,61690,49204
54555,62377,62736
64459,26401,26402
25861,62363,25860
45945,45944,61396
64459,26400,26401
73121,50818,54866
48358,75498,48359
49277,69575,49276
48525,48524,61691
57925,22366,62009
69574,49280,72936
66269,26394,26395
56660,58390,62363
64012,75021,56565
52771,62160,72973
64459,26399,26400
61398,46431,46430
64458,67057,26399
62010,75010,77811
62735,62376,75164
72566,35371,35370
69873,26392,26393
76845,63139,56978
59224,63941,58794
63546,66674,73229
62010,77811,60715
58798,58863,63942
69873,26394,66269
42850,42851,65107
70486,67290,43140
67132,32769,32768
71821,26392,69872
62216,75107,66026
70266,49363,49362
75453,79127,65106
29762,67287,29761
49364,49363,65507
71436,76913,69154
65918,15582,69874
60756,26386,69154
66492,17342,17343
32923,32922,64705
73764,70486,43142
26387,26388,71436
57918,64320,60115
73917,74871,63937
74841,77913,57700
31591,63134,61133
67377,27159,65553
60470,60756,73611
67017,67671,73120
56975,59390,69021
69913,31659,31660
63970,35185,35184
63538,57698,70377
32922,32921,66401
69988,77913,72213
69912,44590,44591
44589,44590,63135
58888,35186,63970
60756,60755,26384
58782,60439,72820
58771,59448,63939
60266,15604,15605
69144,59550,60617
26387,71436,69154
54493,62139,65918
68966,55899,58888
68945,75620,58768
17365,17366,66489
27211,27212,63542
52691,62086,55480
66672,27212,27213
60124,57929,64322
43508,74032,74033
58086,63941,53033
67017,67657,22360
44594,71214,44593
22214,64320,63701
66912,30901,30902
16165,16166,66301
62086,26378,26379
39994,63545,61821
63939,59448,64128
26377,26378,62086
74841,76681,73249
55456,63940,55620
55545,68467,55481
60581,76845,56978
56395,35183,35182
32769,64706,67131
59401,68608,56985
65579,63545,57706
26376,62086,68467
56976,56985,63138
78695,62006,67479
67375,71858,78101
55690,68956,58840
63937,58764,73917
30454,63134,56965
66672,27213,27214
61644,63953,58760
58798,63942,70059
